region,month,total_ridership,MR,UCL_X,LCL_X
Manhattan,Jan-24,51337480,,63515570.6,51870112.25
Manhattan,Feb-24,50898060,439420,63515570.6,51870112.25
Manhattan,Mar-24,56293866,5395806,63515570.6,51870112.25
Manhattan,Apr-24,56341808,47942,63515570.6,51870112.25
Manhattan,May-24,59675046,3333238,63515570.6,51870112.25
Manhattan,Jun-24,54759074,4915972,63515570.6,51870112.25
Manhattan,Jul-24,54120332,638742,63515570.6,51870112.25
Manhattan,Aug-24,53021689,1098643,63515570.6,51870112.25
Manhattan,Sep-24,58165573,5143884,63515570.6,51870112.25
Manhattan,Oct-24,64663161,6497588,63515570.6,51870112.25
Manhattan,Nov-24,58251322,6411839,63515570.6,51870112.25
Manhattan,Dec-24,60193085,1941763,63515570.6,51870112.25
Manhattan,Jan-25,55474882,4718203,63515570.6,51870112.25
Manhattan,Feb-25,52658761,2816121,63515570.6,51870112.25
Manhattan,Mar-25,60481931,7823170,63515570.6,51870112.25
Manhattan,Apr-25,62145151,1663220,63515570.6,51870112.25
Manhattan,May-25,63591343,1446192,63515570.6,51870112.25
Manhattan,Jun-25,59903081,3688262,63515570.6,51870112.25
Manhattan,Jul-25,60202038,298957,63515570.6,51870112.25
Manhattan,Aug-25,57366479,2835559,63515570.6,51870112.25
Manhattan,Sep-25,62005508,4639029,63515570.6,51870112.25
Queens,Jan-24,13652426,,16688705.2,14135326.04
Queens,Feb-24,13454414,198012,16688705.2,14135326.04
Queens,Mar-24,14930955,1476541,16688705.2,14135326.04
Queens,Apr-24,14792657,138298,16688705.2,14135326.04
Queens,May-24,15916449,1123792,16688705.2,14135326.04
Queens,Jun-24,14655929,1260520,16688705.2,14135326.04
Queens,Jul-24,14535741,120188,16688705.2,14135326.04
Queens,Aug-24,14583216,47475,16688705.2,14135326.04
Queens,Sep-24,15724987,1141771,16688705.2,14135326.04
Queens,Oct-24,16868023,1143036,16688705.2,14135326.04
Queens,Nov-24,15277920,1590103,16688705.2,14135326.04
Queens,Dec-24,15230016,47904,16688705.2,14135326.04
Queens,Jan-25,14877182,352834,16688705.2,14135326.04
Queens,Feb-25,14034860,842322,16688705.2,14135326.04
Queens,Mar-25,16203252,2168392,16688705.2,14135326.04
Queens,Apr-25,16355737,152485,16688705.2,14135326.04
Queens,May-25,17082606,726869,16688705.2,14135326.04
Queens,Jun-25,16098306,984300,16688705.2,14135326.04
Queens,Jul-25,16222593,124287,16688705.2,14135326.04
Queens,Aug-25,16196970,25623,16688705.2,14135326.04
Queens,Sep-25,16958089,761119,16688705.2,14135326.04
Bronx,Jan-24,6282374,,7833506.571,6330909.144
Bronx,Feb-24,6170638,111736,7833506.571,6330909.144
Bronx,Mar-24,6914373,743735,7833506.571,6330909.144
Bronx,Apr-24,6818379,95994,7833506.571,6330909.144
Bronx,May-24,7250241,431862,7833506.571,6330909.144
Bronx,Jun-24,6445539,804702,7833506.571,6330909.144
Bronx,Jul-24,6164863,280676,7833506.571,6330909.144
Bronx,Aug-24,6106197,58666,7833506.571,6330909.144
Bronx,Sep-24,7152084,1045887,7833506.571,6330909.144
Bronx,Oct-24,7865488,713404,7833506.571,6330909.144
Bronx,Nov-24,7057668,807820,7833506.571,6330909.144
Bronx,Dec-24,6872679,184989,7833506.571,6330909.144
Bronx,Jan-25,6991960,119281,7833506.571,6330909.144
Bronx,Feb-25,6790046,201914,7833506.571,6330909.144
Bronx,Mar-25,7787999,997953,7833506.571,6330909.144
Bronx,Apr-25,7816068,28069,7833506.571,6330909.144
Bronx,May-25,8098319,282251,7833506.571,6330909.144
Bronx,Jun-25,7546412,551907,7833506.571,6330909.144
Bronx,Jul-25,7397269,149143,7833506.571,6330909.144
Bronx,Aug-25,7238592,158677,7833506.571,6330909.144
Bronx,Sep-25,7959177,720585,7833506.571,6330909.144
Brooklyn,Jan-24,21193442,,25621076.24,20207106.62
Brooklyn,Feb-24,20752581,440861,25621076.24,20207106.62
Brooklyn,Mar-24,22892338,2139757,25621076.24,20207106.62
Brooklyn,Apr-24,22330902,561436,25621076.24,20207106.62
Brooklyn,May-24,24073766,1742864,25621076.24,20207106.62
Brooklyn,Jun-24,21587671,2486095,25621076.24,20207106.62
Brooklyn,Jul-24,20276286,1311385,25621076.24,20207106.62
Brooklyn,Aug-24,20112933,163353,25621076.24,20207106.62
Brooklyn,Sep-24,23460686,3347753,25621076.24,20207106.62
Brooklyn,Oct-24,25283465,1822779,25621076.24,20207106.62
Brooklyn,Nov-24,23019535,2263930,25621076.24,20207106.62
Brooklyn,Dec-24,22656598,362937,25621076.24,20207106.62
Brooklyn,Jan-25,20158905,2497693,25621076.24,20207106.62
Brooklyn,Feb-25,21603750,1444845,25621076.24,20207106.62
Brooklyn,Mar-25,24992490,3388740,25621076.24,20207106.62
Brooklyn,Apr-25,24869154,123336,25621076.24,20207106.62
Brooklyn,May-25,25958157,1089003,25621076.24,20207106.62
Brooklyn,Jun-25,24195135,1763022,25621076.24,20207106.62
Brooklyn,Jul-25,23657596,537539,25621076.24,20207106.62
Brooklyn,Aug-25,22892685,764911,25621076.24,20207106.62
Brooklyn,Sep-25,25227845,2335160,25621076.24,20207106.62